,Set 0,Set 1,Set 2,Set 3,Set 4,Set 5,Set 6,Set 7,Set 8
0,"[0, 0, 0.48264400000012786]","[0, 0, 0.66103539999952154]","[0, 0, 1.0707361000005187]","[0, 0, 2.4770548999970936]","[0, 0, 7.6019460999983819]","[0, 0, 5.9134805000008361]","[0, 0, 7.9813931999972887]","[0, 0, 3.9133497000079354]","[0, 0, 2.4777362000049137]"
1,"[0, 1, 0.47659610000006558]","[0, 1, 0.66062489999955976]","[0, 1, 1.0741937000006481]","[0, 1, 2.4584219999966352]","[0, 1, 7.6097890999985278]","[0, 1, 5.8868252000009038]","[0, 1, 8.0695308999973889]","[0, 1, 4.3841048000069582]","[0, 1, 2.8472029000068395]"
2,"[0, 2, 0.48250000000012738]","[0, 2, 0.66705779999950832]","[0, 2, 1.069333200000492]","[0, 2, 2.4656015999969907]","[0, 2, 7.6136219999984291]","[0, 2, 5.867738000000819]","[0, 2, 7.9758160999976635]","[0, 2, 3.9665058000080879]","[0, 2, 2.4887799000050288]"
3,"[1, 0, 0.51548260000018775]","[1, 0, 0.72213009999937083]","[1, 0, 1.198631800001255]","[1, 0, 2.6366808999975082]","[1, 0, 7.317928699998947]","[1, 0, 6.0563538000006529]","[1, 0, 8.2693014999972654]","[1, 0, 4.1106946000083546]","[1, 0, 2.6398515000057596]"
4,"[1, 1, 0.55765909999989838]","[1, 1, 0.83624529999922137]","[1, 1, 1.4225147000033753]","[1, 1, 3.0399244999975354]","[1, 1, 8.6239658999969322]","[1, 1, 7.1711167999986651]","[1, 1, 9.8329348999916029]","[1, 1, 5.2742840000024307]","[1, 1, 4.0841925000099497]"
5,"[1, 2, 0.55612669999990749]","[1, 2, 0.83230199999921939]","[1, 2, 1.4261197000033414]","[1, 2, 3.0589630999977087]","[1, 2, 8.672816599996759]","[1, 2, 7.0879947999989055]","[1, 2, 9.8208521999916396]","[1, 2, 5.3281352000021887]","[1, 2, 4.0973513000099615]"
6,"[1, 3, 0.51366630000019131]","[1, 3, 0.72350779999938419]","[1, 3, 1.1924225000012036]","[1, 3, 2.6047941999975097]","[1, 3, 7.3162262999987764]","[1, 3, 6.0921483000004546]","[1, 3, 8.1407652999973159]","[1, 3, 4.0955666000083211]","[1, 3, 2.6494051000059464]"
7,"[2, 0, 0.51593490000015385]","[2, 0, 0.77884209999933252]","[2, 0, 1.3248953000029624]","[2, 0, 3.1421212999975214]","[2, 0, 9.0917811999956442]","[2, 0, 6.9037649999992139]","[2, 0, 9.4211736999938864]","[2, 0, 4.5475897000057115]","[2, 0, 4.1968566000098884]"
8,"[2, 1, 0.4774156000001355]","[2, 1, 0.76019969999948223]","[2, 1, 1.3052367000035248]","[2, 1, 3.0500084999969168]","[2, 1, 8.737640499997239]","[2, 1, 6.7351941999995217]","[2, 1, 9.3613826999945271]","[2, 1, 4.8346479000038052]","[2, 1, 5.3672722000015884]"
9,"[2, 2, 0.51406930000015871]","[2, 2, 0.7789339999993421]","[2, 2, 1.319285500002874]","[2, 2, 3.1405461999976572]","[2, 2, 9.1293557999954054]","[2, 2, 7.0538596999990473]","[2, 2, 9.4817605999937555]","[2, 2, 4.5272726000055092]","[2, 2, 4.1871658000098977]"
10,"[3, 0, 0.48798460000018573]","[3, 0, 0.68226359999947561]","[3, 0, 1.118135000000916]","[3, 0, 2.463157499997084]","[3, 0, 7.6528722999983705]","[3, 0, 6.6690296999991023]","[3, 0, 8.7790313999955494]","[3, 0, 4.0884611000081632]","[3, 0, 2.6692111000062941]"
11,"[3, 1, 0.49723080000003217]","[3, 1, 0.74372239999945533]","[3, 1, 1.2579284000030793]","[3, 1, 2.7592176999963063]","[3, 1, 8.5051902999982811]","[3, 1, 8.1582576999982415]","[3, 1, 10.927320299992624]","[3, 1, 5.2967872000011376]","[3, 1, 4.0750308000099444]"
12,"[3, 2, 0.49523420000003743]","[3, 2, 0.74785189999947366]","[3, 2, 1.2452765000029833]","[3, 2, 2.7553621999962625]","[3, 2, 8.5492807999978524]","[3, 2, 8.2043612999979558]","[3, 2, 10.873543299992441]","[3, 2, 5.3118086000010507]","[3, 2, 4.0920065000100552]"
13,"[3, 3, 0.48695740000016008]","[3, 3, 0.68678519999948007]","[3, 3, 1.111998900000849]","[3, 3, 2.441207099997031]","[3, 3, 7.5856833999983229]","[3, 3, 6.6169792999989809]","[3, 3, 8.7914759999952814]","[3, 3, 4.0977856000082271]","[3, 3, 2.6780666000063502]"
14,"[4, 0, 0.48408700000017779]","[4, 0, 0.67708059999949799]","[4, 0, 1.1208329000008623]","[4, 0, 2.5578356999973191]","[4, 0, 8.0574782999979266]","[4, 0, 6.2454898999996429]","[4, 0, 8.1379124999970092]","[4, 0, 3.9375039000080521]","[4, 0, 2.8584014000073976]"
15,"[4, 1, 0.50031410000012611]","[4, 1, 0.72329619999945782]","[4, 1, 1.1930016000016643]","[4, 1, 2.7852216999969435]","[4, 1, 8.7004092999965881]","[4, 1, 6.9076366999983856]","[4, 1, 9.1161654999945085]","[4, 1, 4.3911017000066179]","[4, 1, 3.3987738000092844]"
16,"[4, 2, 0.48419750000014572]","[4, 2, 0.67376869999950684]","[4, 2, 1.1103279000008164]","[4, 2, 2.5867079999972029]","[4, 2, 8.0260698999981201]","[4, 2, 6.1973957999999048]","[4, 2, 8.2094933999972994]","[4, 2, 3.9461061000079511]","[4, 2, 2.8465250000073219]"
